exec,volume,volatility,spread,news,ml,tail_risk,IC,top_win_rate,bot_win_rate,spread_q4_q1,label,combined
0.15,0.1,0.1,0.1,0.1,0.25,0.1,0.0041,0.4918,0.4817,-0.000394,CURRENT,0.5050070028011207
0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0048,0.4888,0.4823,-0.000284,EQUAL,0.471918767507003
0.3458186835137318,0.07104452122763621,0.05829948692576262,0.001708571086700397,0.04204898967446877,0.0039032348685284625,0.4771765127031718,0.0033,0.4904,0.4612,-0.000143,,0.4422268907563025
4.911624024174627e-05,0.36490947219893916,0.005083014018266219,0.14692923881492279,0.020788679126397303,0.4359040873571087,0.026336392244124037,0.0121,0.4861,0.4704,6.1e-05,,0.7223914565826326
0.02844220677583658,0.004046657474943118,0.7127702567999807,0.0076562288140729975,0.012007977181037651,0.015836103997769142,0.21924056895635965,0.0027,0.4848,0.468,-0.000854,,0.3003501400560227
0.14911841236244877,0.0008106507538037892,0.13901682840434793,0.0712821053704036,0.04490049093965571,0.5931032856818849,0.0017682264874553,0.0027,0.477,0.4676,-0.000583,,0.1378501400560222
0.05114207687385213,0.16869047493815695,0.2308588645712137,0.020277312534381694,0.18999135420455138,0.32363741857541556,0.015402498302428423,0.0113,0.4871,0.4672,0.000166,,0.7096113445378147
0.0517844843841929,0.006086287099020501,0.0839982958730566,0.15172537317804802,0.0002905840496973999,0.2923926064997337,0.4137223689162509,0.0043,0.4732,0.468,-0.000367,,0.12591036414565873
0.05855907121459966,0.14184809046790284,0.28626649675452503,0.03589402978409427,0.17004542598422256,0.03922293680509229,0.26816394898956325,0.0114,0.4892,0.4712,-4.8e-05,,0.7575630252100846
0.22852625297700596,0.20233794096409935,0.392712063571687,0.13196826279272625,0.017713605864384297,0.010354039212282218,0.016387834617814893,0.0073,0.4912,0.4732,-0.000567,,0.6269607843137259
9.918229470147628e-07,0.2668285408359383,0.21535457697431876,0.2653630876323923,0.0007287066664403264,0.25172197453994644,2.1215280169902585e-06,0.0098,0.4772,0.4728,-6.4e-05,,0.440336134453782
0.045713288953469,0.29944404399323277,0.0020675760399758796,0.0057921252119298655,0.4925272848057369,0.12124506333290833,0.03321061766274721,0.011,0.4881,0.4684,-5.6e-05,,0.7178396358543413
0.04766170287799145,0.19708963524775547,0.003635995191077656,0.7312982882442607,0.013273148548724795,0.00028376671461410576,0.006757463175575716,0.0105,0.4775,0.4704,-7.2e-05,,0.47599789915966373
0.32348897190604,0.2876005581643783,8.817484608337206e-05,0.04480644729464589,0.04141205185653217,0.04567610361905007,0.25692769231327034,0.0069,0.4904,0.4628,-0.000277,,0.5934873949579832
0.004917114144116489,0.19349607519400835,0.6286565226129996,0.0031201923228981773,0.0037686334786797833,0.04709097421287148,0.11895048803442605,0.0123,0.4885,0.4716,-0.000108,,0.7807948179271706
0.0880236882046789,0.5649625651544958,0.0378719155885391,0.30229907609112683,2.418624584994833e-06,4.775885336769842e-06,0.006835560451237888,0.0123,0.4892,0.4764,-0.000275,,0.7953781512605047
0.12031055388857155,0.18600912586851182,0.4046912698608141,0.0036889394690178897,0.2780175723467175,0.003750624957950278,0.003531913608416946,0.0101,0.4944,0.4668,-0.000124,,0.8112745098039216
0.04937192927923339,1.2767264096494732e-05,0.13245719198197348,0.0542073158031218,0.5284299685817279,0.13341912091271882,0.10210170617712826,0.0039,0.476,0.4676,-0.000466,,0.16743697478991573
0.07550787713504585,0.0006294345736743522,0.006942194946800663,0.758564354583209,0.0028530633366295305,0.028540777299519957,0.12696229812512053,0.0044,0.476,0.4676,-0.000234,,0.18844537815126028
0.03727506761390868,0.5721929687077112,0.22245464640098853,0.06592546437169232,0.0792949372784078,0.0031793672466397128,0.019677548380651933,0.0125,0.4891,0.4676,-2.6e-05,,0.8016981792717083
0.41590937167846176,0.10629921483627001,0.2072747763676441,0.0010624356573275327,0.20671370047360618,0.02435923843981736,0.038381262546873095,0.0032,0.49,0.4604,-9.8e-05,,0.42969187675070003
0.008305377118439703,0.1955213335831844,0.3169073302177504,0.04097687629925502,0.36487808717697395,0.0007448746890748214,0.07266612091532168,0.0124,0.4854,0.4684,-2.6e-05,,0.7204131652661064
0.07450065218614012,0.03689695270509779,0.26093267694299177,0.17391476695864821,0.23511207831717595,0.20320221215902895,0.015440660730917254,0.0045,0.4732,0.468,-0.000414,,0.13431372549019652
0.18023392536095817,0.007732577141509041,0.05135549831211661,0.017451417066999864,0.4308462906760938,0.31226352833932336,0.00011676310299890432,0.0026,0.4844,0.468,-0.00087,,0.28781512605042014
0.04309376111627823,0.03002549643326888,0.2459351280102397,0.44340175389529124,0.01046532513467936,0.21802344914050467,0.00905508626973796,0.0056,0.476,0.4692,-0.000305,,0.23886554621848716
0.030529939107654083,0.039773384092910216,0.12941825965787726,0.569151490167546,0.0022554330319358965,0.05035167862482223,0.17851981531725436,0.0072,0.476,0.4676,0.000252,,0.3060924369747897
0.3089005954655028,0.05081795989902711,0.003849915461245451,0.3375615679578763,0.1782328214167855,0.11633009297242626,0.004307046827136453,0.0046,0.4752,0.4672,-0.000585,,0.18018207282913212
0.02085964794394981,0.049976197175843076,0.1441531262506588,0.1228442282972518,0.005127527734996948,0.17724523165467265,0.4797940409426269,0.0091,0.4761,0.4676,3.7e-05,,0.3880077030812332
0.009903473189375239,0.019433056122734375,0.19806164521646627,0.0014183419535621804,0.4054590179004788,0.13493518598898444,0.23078927962839862,0.0103,0.488,0.4644,0.000345,,0.6863445378151258
0.004518497772000165,0.00026867627679431406,0.23539485537172178,0.03067304699537655,0.39932321825070183,0.3297901523086093,3.155302479624173e-05,0.0052,0.4772,0.4676,-0.000244,,0.24705882352941222
0.051462005463362284,0.036858754799845676,0.1384889409637199,0.44551474338074876,0.07594424034876109,0.026982956264290817,0.22474835877927155,0.0059,0.476,0.4708,-0.000394,,0.2514705882352939
0.41428589605116206,0.019683506631878844,0.1137978151573457,0.005240272112297167,0.11012252164676573,0.033447589894135085,0.30342239850641545,0.0035,0.4896,0.466,-0.000521,,0.43396358543417324
0.0179155502748843,0.07626258014139015,0.018791122257118993,0.11207121374563189,0.00585243160999722,0.6706573171353907,0.09844978483558685,0.0102,0.478,0.4708,-0.000106,,0.4738095238095236
0.00028802899557815324,0.0001284488453233401,0.13899905702570686,0.5667410590394397,0.05442766297613221,0.15827510540620562,0.08114063771161419,0.0037,0.4757,0.4676,-0.000253,,0.1527836134453786
0.46618193449695816,0.1689654646238921,0.0029210131571113353,0.2563212056265072,0.04504655012562731,0.0034089598904679546,0.057154872079436085,0.0059,0.4846,0.468,-0.000669,,0.43063725490196036
0.12113116388663757,0.07508670303347834,0.5143464086813202,0.2514871521576855,0.01333767457906525,0.001674956228746389,0.022935941433066723,0.0053,0.477,0.4684,-0.000252,,0.2470938375350138
0.6789129244586686,0.0918274858539015,0.0009206403638200153,0.19319380702524833,0.024888577301553177,0.007468572302126566,0.0027879926946817266,0.0028,0.4844,0.4676,-0.000872,,0.296218487394958
0.00014208358872774525,0.48913890601889815,0.00824961357943021,0.18592048027644756,0.12388890056426956,0.1362148325630985,0.0564451834091283,0.0122,0.487,0.47,0.000125,,0.7453431372549018
0.19911963376048059,0.3377042984013146,0.2506305053032936,0.04548688506441628,0.11742103273905947,0.01824614935307759,0.031391495378357843,0.0112,0.4872,0.464,0.000152,,0.70749299719888
0.24533245139833199,0.011023767735641777,0.10367074138058646,0.30186836641162484,0.2594511506608847,0.04394114819201893,0.03471237422091136,0.005,0.4773,0.468,-0.000343,,0.24073879551820754
0.0031139293361918522,0.0033111616989741854,0.053453827638243426,0.024494290109857486,7.894854573993342e-06,0.0005404850271105979,0.9150784113350485,0.0071,0.476,0.4712,-1.1e-05,,0.3018907563025208
0.026044928005689385,0.23695808698609577,0.02481407277071941,0.02898720727913468,0.03752964023762351,0.31484708636983283,0.3308189783509044,0.0127,0.4891,0.4672,1.6e-05,,0.8101015406162461
0.05889284752494026,0.00504299512710019,0.2191899823564828,0.525094324383278,0.025691791573920972,0.017998143152073848,0.14808991588220402,0.0047,0.476,0.4676,-0.000285,,0.201050420168067
0.27490075156425636,0.007955230412382643,0.032337753190180965,0.27111486812205376,0.007434260727251191,0.40597778694119163,0.0002793490426833753,0.0033,0.4753,0.4676,-0.000647,,0.12764355742296943
0.0012002651901515443,0.4581611254038375,0.054584663965998176,0.03983413259260547,0.00010944946823889895,0.043616913570162695,0.40249344980900575,0.0124,0.4894,0.4716,-0.000152,,0.8037464985994398
0.07474581561913222,0.18080911521290643,0.25228959551631785,0.06494183867922079,0.3088733553421813,0.11693692377103854,0.0014033558592028348,0.0112,0.488,0.4712,-0.00013,,0.7241596638655461
0.773046148629129,0.15204162739262242,0.02488827425935358,0.0034002583683244614,0.01979887368610458,0.003460880652116256,0.02336393701234987,0.0034,0.49,0.4612,-0.000147,,0.43809523809523787
0.0018911214103733203,0.131289154356789,0.01592954671003336,0.08711971403302939,0.2594822917774156,0.0012033154316154922,0.5030848562807438,0.0127,0.4878,0.4708,-2.1e-05,,0.7830182072829135
0.05284754422304305,0.029773641019024587,0.00512619441010638,0.05583112504455261,0.5349492840657422,0.2725512565660662,0.048920954671465074,0.0049,0.4769,0.4696,-0.000719,,0.22820378151260504
