ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
8,32,1.0,2.0,25,0.7188897640218457,-26985.14594266474,41474.75554509036,0.5103448275862069,145,3.041698235422741
8,32,1.0,1.5,25,0.6438412524414195,-36122.38523287851,40391.40040176979,0.5523255813953488,172,2.5728032553171296
8,32,1.5,2.0,25,0.904596752475934,-9674.69871902021,30577.775381142914,0.6501547987616099,323,2.370826657376145
8,32,1.5,2.0,25,0.904596752475934,-9674.69871902021,30577.775381142914,0.6501547987616099,323,2.370826657376145
8,32,1.5,1.5,25,0.7239019874497316,-25417.72386701003,40907.6389520783,0.6267605633802817,284,2.331684427742964
20,80,1.0,2.0,25,0.8230535431242223,-23099.529229929867,41392.8033062297,0.5817307692307693,208,2.028054567416398
8,32,1.5,2.0,22,0.9008501849819148,-11050.24887667677,33829.41613213468,0.6585365853658537,328,1.296608037341616
8,32,1.5,2.0,28,0.8994372112696185,-9857.9869366218,30195.715496004792,0.6386292834890965,321,1.1865559047409788
20,80,1.5,2.0,25,0.97309811827507,-2684.6313425736394,26129.475604407082,0.6758409785932722,327,0.9995191991311068
20,80,1.5,2.0,25,0.97309811827507,-2684.6313425736394,26129.475604407082,0.6758409785932722,327,0.9995191991311068
20,80,1.5,1.5,25,0.8832340957384479,-10950.56415038008,34406.642156141694,0.6776119402985075,335,0.9855565135452453
20,80,1.5,2.0,28,0.9575920043781521,-4159.383181040395,26870.719327442814,0.6635802469135802,324,0.9534847866498039
8,32,2.0,2.0,25,0.6249292263773664,-30465.54471279589,42054.08281552559,0.5535055350553506,271,0.8198681193831289
20,80,1.5,2.0,22,0.9318848691564416,-7666.6561716796805,30878.528889511246,0.6909090909090909,330,0.7679327568478623
20,80,1.0,1.5,25,0.7996982773617384,-26410.553848966352,41352.84222220461,0.6173913043478261,230,0.6767201560729686
8,32,2.0,1.5,25,0.5711095872522295,-32301.507754726994,40437.78598835331,0.5916955017301038,289,0.5337651083131214
20,80,2.0,2.0,25,0.7340646752779624,-21425.545613788396,36879.00049268,0.6104294478527608,326,0.3559446183700613
20,80,2.0,1.5,25,0.732685836879418,-17797.613069816965,33958.10531728587,0.6377245508982036,334,0.34443429274285653
